Training Set,,,
,,pKi,
Number,SMILES,Experimental,Predicted
1,FCOC(=O)C1(N(c2ccccc2)C(=O)CC)CC[N+](CC1)CCc3ccccc3,9.9,9.9
2,O=C1[C@H](c2ccccc2N1C3CC[N+](CC3)CCC(c4ccccc4)c5ccccc5)CC,8.7,8.7
3,O=C1Cc2ccccc2N1C3CC[N+](C4C5CCCC4CCC5)CC3,8.6,8.6
4,O=C1[C@@H](c2ccccc2N1C3CC[N+]([C@@H]4c5cccc6CCC[C@H](c65)CC4)CC3)CC,8.1,8.2
5,O=C1[C@H](c2ccccc2N1C3CC[N+](CC3)Cc4cccc5c4cc[nH]5)CC,8,8.1
6,OCCOc1cccc(-c2nc3ccccc3n2C4CC[N+](C5(CCCCCCC5)C)CC4)c1,8,8
7,O=C1Cc2ccccc2N1C3CC[N+](C4CCC(CC4)C(CC)(C)C)CC3,7.8,7.8
8,O=C1Cc2ccccc2N1C3CC[N+]([C@H]4c5cccc6CCC[C@H](c65)CC4)CC3,7.5,7.4
9,O=C(N(C1CC[N+](CC1)CCc2ccccc2)CCCCCCCCNC(N)=[N+])CC,7.4,7.4
10,Clc1c(F)ccc(-c2nc3ccccc3n2C4CC[N+](C5(CCCCCCC5)C)CC4)c1,7.4,7.4
11,O=C(N(C)C)[C@@H]1Cc2ccccc2N1C(=O)CC[N+]3CCC(CC3)c4ccccc4C,7.2,7.1
12,Clc1ccc(O)c2c1C[C@@H]([N+]C2)C[N+]3CCC4(CC3)c5ccccc5CC4,7.2,7.2
13,O=C(N(C)C)[C@@H]1Cc2ccccc2N1C(=O)CC[N+]3CCC(CC3)c4ccccc4,7.1,7.1
14,O=C(N1c2ccccc2C[C@H]1C(=O)N(C)C)CC[N+]3CCC(CC3)c4c(cccc4C)C,7.1,7.2
15,O=C(N(C)C)[C@@H]1Cc2ccccc2N1C(=O)CC[N+]3CCC(CC3)c4ccccc4C,6.9,6.9
16,OCC[N+]1C[C@@H]2[C@H](C1)CN(C32CC[N+](C4CCC(CC4)C(C)C)CC3)c5ccccc5,6.8,6.7
17,O=C1c2ccccc2C[C@H](N1C)C[N+]3CCC4(CC3)c5ccccc5CC4,6.6,6.6
18,CC(C1CCC([N+]2CCC3([C@H]4[C@H](C[N+](C4)CCCC)CN3c5ccccc5)CC2)CC1)C,6.6,6.5
19,Fc1ccc(C2CC[N+](C[C@@H]3Cc4ccccc4C[N+]3)CC2)c(c1)C,6.5,6.4
20,[N+]1([C@@H]2c3cccc4cccc(C2)c43)CCC(CC1)c5c[nH]c6c5cccn6,6.4,6.4
21,O=C(N1CCC2(CC1)c3ccccc3CC2)[C@@H]4Cc5ccccc5C[N+]4,6.4,6.3
22,Fc1ccc2c(c(C3CC[N+](CC3)Cc4cccc5ccccc54)c[nH]2)c1,6.3,6.3
23,Fc1ccc2c(n(C[C@H](O)C[N+](C)C)cc2C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3)c1,6.1,6.1
24,Fc1ccc2c([nH]cc2C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3)c1,6.1,6.1
